artifact_id,key,value
img.feature:48:pf_48_from__appearanceobject,feature.kind,source
img.feature:48:pf_48_from__appearanceobject,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:49:pf_49_where__scientific_object,feature.id,pf:49:where__scientific_object
img.feature:49:pf_49_where__scientific_object,feature.kind,condition
img.feature:49:pf_49_where__scientific_object,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:4:pf_4_source__perception_stream,feature.id,pf:4:source__perception_stream
img.feature:4:pf_4_source__perception_stream,feature.kind,source
img.feature:4:pf_4_source__perception_stream,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:50:pf_50_procedure__compile_absolute_concept,feature.id,pf:50:procedure__compile_absolute_concept
img.feature:50:pf_50_procedure__compile_absolute_concept,feature.kind,procedure
img.feature:50:pf_50_procedure__compile_absolute_concept,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:51:pf_51_emit__sensation-dataset,feature.id,pf:51:emit__sensation-dataset
img.feature:51:pf_51_emit__sensation-dataset,feature.kind,procedure
img.feature:51:pf_51_emit__sensation-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:52:pf_52_emit__appearance-dataset,feature.id,pf:52:emit__appearance-dataset
img.feature:52:pf_52_emit__appearance-dataset,feature.kind,procedure
img.feature:52:pf_52_emit__appearance-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:53:pf_53_emit__reflection-dataset,feature.id,pf:53:emit__reflection-dataset
img.feature:53:pf_53_emit__reflection-dataset,feature.kind,procedure
img.feature:53:pf_53_emit__reflection-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:54:pf_54_emit__logogenesis-dataset,feature.id,pf:54:emit__logogenesis-dataset
img.feature:54:pf_54_emit__logogenesis-dataset,feature.kind,procedure
img.feature:54:pf_54_emit__logogenesis-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:55:pf_55_emit__mark-dataset,feature.id,pf:55:emit__mark-dataset
img.feature:55:pf_55_emit__mark-dataset,feature.kind,procedure
img.feature:55:pf_55_emit__mark-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:56:pf_56_emit__concept-dataset,feature.id,pf:56:emit__concept-dataset
img.feature:56:pf_56_emit__concept-dataset,feature.kind,procedure
img.feature:56:pf_56_emit__concept-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:57:pf_57_emit__judgment-dataset,feature.id,pf:57:emit__judgment-dataset
img.feature:57:pf_57_emit__judgment-dataset,feature.kind,procedure
img.feature:57:pf_57_emit__judgment-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:58:pf_58_emit__syllogism-dataset,feature.id,pf:58:emit__syllogism-dataset
img.feature:58:pf_58_emit__syllogism-dataset,feature.kind,procedure
img.feature:58:pf_58_emit__syllogism-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:59:pf_59_emit__principle-dataset,feature.id,pf:59:emit__principle-dataset
img.feature:59:pf_59_emit__principle-dataset,feature.kind,procedure
img.feature:59:pf_59_emit__principle-dataset,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:5:pf_5_appearance__empirical_appearance,feature.id,pf:5:appearance__empirical_appearance
img.feature:5:pf_5_appearance__empirical_appearance,feature.kind,observation
img.feature:5:pf_5_appearance__empirical_appearance,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:60:pf_60_emit__absolute-concept-manifest,feature.id,pf:60:emit__absolute-concept-manifest
img.feature:60:pf_60_emit__absolute-concept-manifest,feature.kind,procedure
img.feature:60:pf_60_emit__absolute-concept-manifest,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:61:pf_61_emit__dataset-artifacts,feature.id,pf:61:emit__dataset-artifacts
img.feature:61:pf_61_emit__dataset-artifacts,feature.kind,procedure
img.feature:61:pf_61_emit__dataset-artifacts,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:6:pf_6_key__observation_id,feature.id,pf:6:key__observation_id
img.feature:6:pf_6_key__observation_id,feature.kind,observation
img.feature:6:pf_6_key__observation_id,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note,feature.id,pf:7:retain__observation_id-timestamp-modality-intensity-note
img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note,feature.kind,observation
img.feature:7:pf_7_retain__observation_id-timestamp-modality-intensity-note,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:8:pf_8_derive__immediacy,feature.id,pf:8:derive__immediacy
img.feature:8:pf_8_derive__immediacy,feature.kind,mark
img.feature:8:pf_8_derive__immediacy,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.feature:9:pf_9_derive__persistence,feature.id,pf:9:derive__persistence
img.feature:9:pf_9_derive__persistence,feature.kind,mark
img.feature:9:pf_9_derive__persistence,feature.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.model:0:appearanceobject,model.id,AppearanceObject
img.model:0:appearanceobject,model.kind,model
img.model:0:appearanceobject,model.ontology_ids,org.hegel.epistemology.absolute_concept.scientific_inference
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,provenance.generated_at_unix_ms,0
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,provenance.runtime_mode,transcendental-logic
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,provenance.source,gdsl/sdsl
img.provenance:0:org.hegel.epistemology.absolute_concept.scientific_inference,provenance.substrate,dataframe/dataset
